deck1;deck2;gameNumber;timeInMs;winnerId;winner;turns;reason;info;hash1;hash2;version
hearless-abzan;grishoalbrand;1;3186;1;hearless-abzan;12;Game outcome: Ai(2)-grishoalbrand has lost because life total reached 0;[AI failed to play Allosaurus Rider (3)];1641112992;1110447008;1.6.9
hearless-abzan;goblins;1;2544;2;goblins;10;Game outcome: Ai(1)-hearless-abzan has lost because life total reached 0;[];1641112992;195261308;1.6.9
